,FIPS,Text,Pred
278,11001.0,as zmarks ericachenoweth write foreignaffairs authoritarianoligarchic regimes often target female prod ,1
279,26161.0,isciences temperature forecast apr 2022 much hotter than normal siberia turkmenistan uzbekistan ,1
280,48333.0,with qatar being one major donators terrorism around world isnt surprise troops ,1
281,11001.0,ring road connects afghanitan two largest cities links communities encourages economic stability mi httpstcoawedb10ngs s ,1
282,23021.0,watch full speech these words needed said desperately need heeded thank you ,1
283,-1.0,the taliban left no room people oppose question them ultimately never works out as ,1
284,11001.0,kinatoran prisonplanet ill never trust biden american troops lives bc did afghanistan 86 ,1
285,11001.0,members the bridge community deserve relax unwind bryan grove interesting article to escalate not httpstcosxh1qizaof s ,1
286,39093.0,if putinswar becomes wwiii battle lines drawn theworld against russia russia amp china russi ,1
287,47157.0,but people little money watch children starve because can go market buy fo ,1
288,39093.0,who us allies afghanistan afghanresistance the taliban the russians the chinese httpstco3tgsdbapbh s ,1
289,36061.0,nytimes no shitwhat about iraq afghanistan syria yemenrings ,1
290,-1.0,special scene wewereinafghanistan afghanistan usa ,1
291,-1.0,there no rule law afghanistan these incidents keep happening because one terrorist interprets islam dif ,1
292,31109.0,did serve afghanistan our sister research project wants hear you ,1
293,36061.0,anbaren bold ambitious 16yearold born age optimism afghanistan but last aug ,1
294,53067.0,university maryland temporarily house afghan refugees httpstcocs4tbvbpl0 afghanistan ,1
295,53067.0,warmington former afghan interpreter family now safe httpstco08lmhkz7ov afghanistan afghanistancrisis ,1
296,6013.0,afghan believer putin looks lot like taliban httpstcotpvizdctnw afghanchristians afghanistan h4i ,1
297,36061.0,cultural distinctions varying interpretations sharia afghanistan mean reactions taliban educa httpstcouabbzgggfq s ,1
298,6107.0,ahmadfaruqui dailytimespak us analyst michael ledeen ten years so united states needs pick up ,1
299,48333.0,based fabricated george w bush started wars afghanistan amp iraq resulted incalculabl ,1
300,48279.0,afghanistan among top 20 countries cryptocurrency adoption can solve everything ,1
301,11001.0,when i deployed afghanistan i served along bravest amp talented men amp women uniform nato we foug ,1
302,48333.0,alicia0givens doesn taliban afghanistan allow too ,1
303,6037.0,letafgangirlslearn appeal those power afghanistan allow afghan girls get eduction open school ,1
304,22009.0,the proof around achievements democrats done biden top high inflation ,1
305,6107.0,putin would met no resistance had listened went kabul instead kiev his military sec ,1
306,53033.0,why do i keep saying make afghanistan livable all it doesn matter go discrimination hate t ,1
307,34021.0,congressman charliewilson danrather cbs wearing turban tv i want know why yes ,1
308,53067.0,afghan nationals seeking refuge australia need urgently improved visa processing senate report finds ,1
309,53067.0,taliban hardliners enforce more restrictions women girls httpstcozspvaxtkyv afghanistan ,1
310,34021.0,congressman charliewilson danrather cbs wearing turban tv i want know why yes ,1
311,34021.0,congressman charliewilson danrather cbs wearing turban tv i want know why yes ,1
312,53067.0,danish aid chief says group afghan female staff working abc news httpstcondykg75si7 afghanistan httpstcogidf2odvul s ,1
313,48333.0,potus 244 broke the solemn promise by leaving americans and allies behind in afghanistan ,1
314,34021.0,congressman charliewilson danrather cbs wearing turban tv i want know why yes ,1
315,34021.0,congressman charliewilson danrather cbs wearing turban tv i want know why yes ,1
316,34021.0,congressman charliewilson danrather cbs wearing turban tv i want know why yes ,1
317,36029.0,at buffalo creek academy we empower students adopt causes matter them take action our stude ,1
318,34021.0,congressman charliewilson danrather cbs wearing turban tv i want know why yes ,1
319,34021.0,congressman charliewilson danrather cbs wearing turban tv i want know why yes ,1
320,34021.0,congressman charliewilson danrather cbs wearing turban tv i want know why yes ,1
321,20009.0,taliban did same thing uncle after death father 90s one day threw hi ,1
322,12089.0,why dead civilians streets bucha other places because world ignored russia rea ,1
323,6107.0,putin only escape ukraine doubling downampwin invade poland lithuania afghanistan he needs a httpstco5jpgcm5lvz s ,1
324,6107.0,us trying catch up putin hypersonic king his way out ukraine mess either doub httpstcot3u338c3le s s ,1
325,36061.0,ecw director yasminesherif1 calls immediate return education girls afghanistan support pea ,1
326,11001.0,our advocacy awards person year night honoring hillaryclinton amp activist roshan mashal ,1
327,36029.0,at buffalo creek academy we empower students adopt causes matter them take action stud ,1
328,51710.0,i drank share cups tea aka chai while afghanistan whatever panerabread serving an ,1
329,-1.0,business great do also consider same afghanistan well ,1
330,34021.0,congressman charliewilson danrather cbs wearing turban tv i want know why yes ,1
331,34021.0,congressman charliewilson danrather cbs wearing turban tv i want know why yes ,1
332,34021.0,congressman charliewilson danrather cbs wearing turban tv i want know why yes ,1
333,42003.0,news protected status has granted afghans already living united states ma ,1
